timestamp,event_type,campaign_id,customer_name,previous_state,new_state,action,reason,risk_tier,collection_probability,outstanding_amount,amount_targeted,amount_recovered,attempt_number,actor,simulation_result
2026-09-02T21:32:13.280056+00:00,RECOVERY_ACTION,TEST-CAMPAIGN,Test,RECOVERED,RECOVERED,WAIT,"Selected: Rs.100 outstanding, probability 50%, 30 days overdue, priority score 0",MEDIUM RISK,50,100,100,0.0,1,recovery_agent,
2026-09-02T21:32:13.281062+00:00,PAYMENT_OUTCOME,,Test2,ESCALATED,RECOVERED,,"Simulation: final_prob=0.95, seed=0.4990, threshold=<",WRITE-OFF RISK,100,100,0.0,100,0,recovery_agent,PAID
2026-09-02T21:32:56.945862+00:00,AGENT_QUERY,,,,,,Who should we contact today to maximize expected revenue recovery?,,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.039735+00:00,CAMPAIGN_START,REC-2026-09-03-001,,,,START,"Targeting 8 customers, excluded 2 low-risk",,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.039735+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Patel Stores,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.272,414 outstanding, probability 30%, 149 days overdue, priority score 163,448",WRITE-OFF RISK,30.0,272413.94,272413.94,0.0,1,recovery_agent,
2026-09-02T21:32:57.040726+00:00,PAYMENT_OUTCOME,,Patel Stores,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.34, seed=0.2089, threshold=<",WRITE-OFF RISK,30.0,272413.94,0.0,272413.94,1,recovery_agent,PAID
2026-09-02T21:32:57.040726+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Singh Brothers,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.305,041 outstanding, probability 20%, 145 days overdue, priority score 122,016",WRITE-OFF RISK,20.0,305040.66,305040.66,0.0,1,recovery_agent,
2026-09-02T21:32:57.040726+00:00,PAYMENT_OUTCOME,,Singh Brothers,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.3311, threshold=>=",WRITE-OFF RISK,20.0,305040.66,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-02T21:32:57.040726+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Verma Kirana,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.188,248 outstanding, probability 30%, 145 days overdue, priority score 112,949",WRITE-OFF RISK,30.0,188248.29,188248.29,0.0,1,recovery_agent,
2026-09-02T21:32:57.041747+00:00,PAYMENT_OUTCOME,,Verma Kirana,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.9855, threshold=>=",WRITE-OFF RISK,30.0,188248.29,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-02T21:32:57.041747+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Sharma General Store,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.162,377 outstanding, probability 30%, 131 days overdue, priority score 97,426",WRITE-OFF RISK,30.0,162377.38,162377.38,0.0,1,recovery_agent,
2026-09-02T21:32:57.041747+00:00,PAYMENT_OUTCOME,,Sharma General Store,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.34, seed=0.0500, threshold=<",WRITE-OFF RISK,30.0,162377.38,0.0,162377.38,1,recovery_agent,PAID
2026-09-02T21:32:57.042727+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Gupta Supermarket,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.160,264 outstanding, probability 30%, 141 days overdue, priority score 96,158",WRITE-OFF RISK,30.0,160263.78,160263.78,0.0,1,recovery_agent,
2026-09-02T21:32:57.042727+00:00,PAYMENT_OUTCOME,,Gupta Supermarket,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.9101, threshold=>=",WRITE-OFF RISK,30.0,160263.78,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-02T21:32:57.042727+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Mehta Provision Store,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.210,037 outstanding, probability 20%, 145 days overdue, priority score 84,015",WRITE-OFF RISK,20.0,210036.71,210036.71,0.0,1,recovery_agent,
2026-09-02T21:32:57.042727+00:00,PAYMENT_OUTCOME,,Mehta Provision Store,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.8197, threshold=>=",WRITE-OFF RISK,20.0,210036.71,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-02T21:32:57.043726+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Jain Provisions,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.106,751 outstanding, probability 20%, 146 days overdue, priority score 42,700",WRITE-OFF RISK,20.0,106751.2,106751.2,0.0,1,recovery_agent,
2026-09-02T21:32:57.043726+00:00,PAYMENT_OUTCOME,,Jain Provisions,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.5042, threshold=>=",WRITE-OFF RISK,20.0,106751.2,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-02T21:32:57.043726+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Joshi Traders,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.81,926 outstanding, probability 10%, 146 days overdue, priority score 16,385",WRITE-OFF RISK,10.0,81926.3,81926.3,0.0,1,recovery_agent,
2026-09-02T21:32:57.044728+00:00,PAYMENT_OUTCOME,,Joshi Traders,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.11, seed=0.0664, threshold=<",WRITE-OFF RISK,10.0,81926.3,0.0,81926.3,1,recovery_agent,PAID
2026-09-02T21:32:57.044728+00:00,CAMPAIGN_END,REC-2026-09-03-001,,,,COMPLETE,"Recovery rate: 34.8%, Performance: 140.6%",,0.0,0.0,0.0,516717.62,0,recovery_agent,
2026-09-02T21:32:57.045733+00:00,TOOL_CALL,,,,,execute_recovery_campaign,{},,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.047742+00:00,AGENT_QUERY,,,,,,Run today's recovery campaign.,,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.047742+00:00,TOOL_CALL,,,,,execute_recovery_campaign,{},,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.049886+00:00,AGENT_QUERY,,,,,,What happened in today's recovery campaign?,,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.050874+00:00,TOOL_CALL,,,,,execute_recovery_campaign,{},,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.051877+00:00,AGENT_QUERY,,,,,,Why was Patel Stores selected? Why was Agarwal Mart not selected?,,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.052877+00:00,TOOL_CALL,,,,,execute_recovery_campaign,{},,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.054875+00:00,AGENT_QUERY,,,,,,Show me today's recovery audit trail.,,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-02T21:32:57.055873+00:00,TOOL_CALL,,,,,execute_recovery_campaign,{},,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-03T08:36:27.387204+00:00,CAMPAIGN_START,REC-2026-09-03-001,,,,START,"Targeting 8 customers, excluded 2 low-risk",,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-03T08:36:27.391131+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Patel Stores,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.272,414 outstanding, probability 30%, 149 days overdue, priority score 163,448",WRITE-OFF RISK,30.0,272413.94,272413.94,0.0,1,recovery_agent,
2026-09-03T08:36:27.394196+00:00,PAYMENT_OUTCOME,,Patel Stores,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.34, seed=0.2089, threshold=<",WRITE-OFF RISK,30.0,272413.94,0.0,272413.94,1,recovery_agent,PAID
2026-09-03T08:36:27.397212+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Singh Brothers,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.305,041 outstanding, probability 20%, 145 days overdue, priority score 122,016",WRITE-OFF RISK,20.0,305040.66,305040.66,0.0,1,recovery_agent,
2026-09-03T08:36:27.399133+00:00,PAYMENT_OUTCOME,,Singh Brothers,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.3311, threshold=>=",WRITE-OFF RISK,20.0,305040.66,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T08:36:27.402137+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Verma Kirana,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.188,248 outstanding, probability 30%, 145 days overdue, priority score 112,949",WRITE-OFF RISK,30.0,188248.29,188248.29,0.0,1,recovery_agent,
2026-09-03T08:36:27.405134+00:00,PAYMENT_OUTCOME,,Verma Kirana,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.9855, threshold=>=",WRITE-OFF RISK,30.0,188248.29,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T08:36:27.407133+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Sharma General Store,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.162,377 outstanding, probability 30%, 131 days overdue, priority score 97,426",WRITE-OFF RISK,30.0,162377.38,162377.38,0.0,1,recovery_agent,
2026-09-03T08:36:27.410203+00:00,PAYMENT_OUTCOME,,Sharma General Store,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.34, seed=0.0500, threshold=<",WRITE-OFF RISK,30.0,162377.38,0.0,162377.38,1,recovery_agent,PAID
2026-09-03T08:36:27.413204+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Gupta Supermarket,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.160,264 outstanding, probability 30%, 141 days overdue, priority score 96,158",WRITE-OFF RISK,30.0,160263.78,160263.78,0.0,1,recovery_agent,
2026-09-03T08:36:27.416137+00:00,PAYMENT_OUTCOME,,Gupta Supermarket,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.9101, threshold=>=",WRITE-OFF RISK,30.0,160263.78,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T08:36:27.419217+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Mehta Provision Store,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.210,037 outstanding, probability 20%, 145 days overdue, priority score 84,015",WRITE-OFF RISK,20.0,210036.71,210036.71,0.0,1,recovery_agent,
2026-09-03T08:36:27.422215+00:00,PAYMENT_OUTCOME,,Mehta Provision Store,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.8197, threshold=>=",WRITE-OFF RISK,20.0,210036.71,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T08:36:27.425209+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Jain Provisions,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.106,751 outstanding, probability 20%, 146 days overdue, priority score 42,700",WRITE-OFF RISK,20.0,106751.2,106751.2,0.0,1,recovery_agent,
2026-09-03T08:36:27.428221+00:00,PAYMENT_OUTCOME,,Jain Provisions,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.5042, threshold=>=",WRITE-OFF RISK,20.0,106751.2,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T08:36:27.431218+00:00,RECOVERY_ACTION,REC-2026-09-03-001,Joshi Traders,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.81,926 outstanding, probability 10%, 146 days overdue, priority score 16,385",WRITE-OFF RISK,10.0,81926.3,81926.3,0.0,1,recovery_agent,
2026-09-03T08:36:27.434134+00:00,PAYMENT_OUTCOME,,Joshi Traders,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.11, seed=0.0664, threshold=<",WRITE-OFF RISK,10.0,81926.3,0.0,81926.3,1,recovery_agent,PAID
2026-09-03T08:36:27.438244+00:00,CAMPAIGN_END,REC-2026-09-03-001,,,,COMPLETE,"Recovery rate: 34.8%, Performance: 140.6%",,0.0,0.0,0.0,516717.62,0,recovery_agent,
2026-09-03T20:26:25.527901+00:00,CAMPAIGN_START,REC-2026-09-04-001,,,,START,"Targeting 8 customers, excluded 2 low-risk",,0.0,0.0,0.0,0.0,0,recovery_agent,
2026-09-03T20:26:25.529894+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Patel Stores,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.272,414 outstanding, probability 30%, 149 days overdue, priority score 163,448",WRITE-OFF RISK,30.0,272413.94,272413.94,0.0,1,recovery_agent,
2026-09-03T20:26:25.530892+00:00,PAYMENT_OUTCOME,,Patel Stores,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.3913, threshold=>=",WRITE-OFF RISK,30.0,272413.94,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T20:26:25.530892+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Singh Brothers,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.305,041 outstanding, probability 20%, 145 days overdue, priority score 122,016",WRITE-OFF RISK,20.0,305040.66,305040.66,0.0,1,recovery_agent,
2026-09-03T20:26:25.532132+00:00,PAYMENT_OUTCOME,,Singh Brothers,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.8282, threshold=>=",WRITE-OFF RISK,20.0,305040.66,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T20:26:25.532132+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Verma Kirana,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.188,248 outstanding, probability 30%, 145 days overdue, priority score 112,949",WRITE-OFF RISK,30.0,188248.29,188248.29,0.0,1,recovery_agent,
2026-09-03T20:26:25.533638+00:00,PAYMENT_OUTCOME,,Verma Kirana,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.5760, threshold=>=",WRITE-OFF RISK,30.0,188248.29,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T20:26:25.534648+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Sharma General Store,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.162,377 outstanding, probability 30%, 131 days overdue, priority score 97,426",WRITE-OFF RISK,30.0,162377.38,162377.38,0.0,1,recovery_agent,
2026-09-03T20:26:25.534648+00:00,PAYMENT_OUTCOME,,Sharma General Store,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.34, seed=0.9026, threshold=>=",WRITE-OFF RISK,30.0,162377.38,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T20:26:25.536146+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Gupta Supermarket,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.160,264 outstanding, probability 30%, 141 days overdue, priority score 96,158",WRITE-OFF RISK,30.0,160263.78,160263.78,0.0,1,recovery_agent,
2026-09-03T20:26:25.536146+00:00,PAYMENT_OUTCOME,,Gupta Supermarket,ESCALATED,RECOVERED,ESCALATION,"Simulation: final_prob=0.34, seed=0.0262, threshold=<",WRITE-OFF RISK,30.0,160263.78,0.0,160263.78,1,recovery_agent,PAID
2026-09-03T20:26:25.537641+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Mehta Provision Store,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.210,037 outstanding, probability 20%, 145 days overdue, priority score 84,015",WRITE-OFF RISK,20.0,210036.71,210036.71,0.0,1,recovery_agent,
2026-09-03T20:26:25.537641+00:00,PAYMENT_OUTCOME,,Mehta Provision Store,ESCALATED,WAITING_FOR_PAYMENT,ESCALATION,"Simulation: final_prob=0.23, seed=0.9042, threshold=>=",WRITE-OFF RISK,20.0,210036.71,0.0,0.0,1,recovery_agent,NO_PAYMENT
2026-09-03T20:26:25.538704+00:00,RECOVERY_ACTION,REC-2026-09-04-001,Jain Provisions,ESCALATED,ESCALATED,ESCALATION,"Selected: Rs.106,751 outstanding, probability 20%, 146 days overdue, priority score 42,700",WRITE-OFF RISK,20.0,106751.2,106751.2,0.0,1,recovery_agent,
